,,,,boaz's test,,,,,,,,,,our output Algo1,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,lat,lon,,,,,compare lon,compare lat,,,,,,lon,lat,
7,8c:0c:90:2f:d3:d8,Ariel_University,11,-78,32.10412387,35.21091349,700,03/12/2017 08:55,Approx. w-center algo1,,0.001687567,0.000608244,,Ariel_University,8c:0c:90:2e:16:88,11,-84,35.20922592,32.10351563,694.6152531
70,74:ea:3a:ad:d1:50,TP-LINK_ADD150,4,-69,32.10464283,35.20987862,687.7614554,03/12/2017 08:53,Approx. w-center algo1,,0.000670181,0.002308149,,Bezeq Free,62:ab:1b:60:b4:cb,8,-86,35.20920844,32.10233468,688.9109817
85,e4:95:6e:40:87:1a,OOP_course,1,-12,32.10298812,35.20966518,702.040903,03/12/2017 09:01,Approx. w-center algo1,,0.000507167,0.000679878,,AUC_4_2_24,d8:5d:4c:9e:69:22,1,-84,35.21017235,32.103668,699.8775257
49,62:ab:1b:60:b4:cb,Bezeq Free,8,-78,32.10233468,35.20920844,688.9109817,03/12/2017 08:54,Approx. w-center algo1,,0.000465648,0.000646351,,Partner,42501_7211_3084804,0,-85,35.20967409,32.10298103,702.0912213
36,1c:b9:c4:12:90:b8,Ariel_University,11,-71,32.10315652,35.20952905,690.8082143,03/12/2017 08:54,Approx. w-center algo1,,0.000381687,0.000266699,,Ariel_University,1c:b9:c4:12:90:b8,11,-71,35.20914736,32.10288982,688.2740573
103,1c:b9:c4:15:1c:b8,Ariel_University,1,-75,32.1038518,35.21002217,696.2530309,03/12/2017 09:03,Approx. w-center algo1,,0.000376447,0.000106299,,Ariel_University,1c:b9:c4:15:1c:b8,1,-81,35.20964572,32.1037455,695.2166578
3,1c:b9:c4:15:fd:48,Ariel_University,1,-71,32.103838,35.21000471,698.6908558,03/12/2017 09:06,Approx. w-center algo1,,0.000267041,6.15E-05,,Ariel_University,1c:b9:c4:15:fd:48,1,-84,35.21027175,32.10377648,702.4306088
126,1c:b9:c4:16:05:38,Ariel_University,11,-75,32.10424217,35.20959489,686.3675019,03/12/2017 08:53,Approx. w-center algo1,,0.00022615,0.000316319,,Ariel_University,1c:b9:c4:16:05:38,11,-90,35.20982104,32.10455849,686.7209413
