,,,,boaz's test,,,,,,,,,output ALGO2,,,,
,,,,,,,,,,,,,,,,,
,,lat,lon,,,,,compare lon,compare lat,lon,lat,,,,,,
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10391834,35.20913606,686.4442709,2,00:02:6f:b8:c4:1a, ,0.000287951,0.001448338,35.20884811,32.10247,686,Ariel_University,1c:b9:c4:12:7c:c8,11,-73,Ariel_University
12/05/2017 11:50,model=SM-G950F_device=dreamlte,null,null,null,1,00:25:86:cc:00:f8,AUC_54_R,#VALUE!,#VALUE!,35.20873168,32.10318972,684.0041905,Ariel_University,1c:b9:c4:12:90:b8,11,-71,Ariel_University
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10365359,35.21010139,710.6710794,4,00:27:22:f3:bb:2b, ,7.34311E-06,0.000269428,35.21009404,32.10338416,694.7220562,Ariel_University,1c:b9:c4:12:af:78,11,-79,Ariel_University
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.1039482,35.20959618,696.6662424,5,00:27:22:f3:bb:2b, ,0.000528261,0.000507374,35.21012444,32.10344082,694.8208716,Ariel_University,1c:b9:c4:12:af:78,11,-75,Ariel_University
12/05/2017 11:49,model=SM-G950F_device=dreamlte,32.10365665,35.20893794,684.4652256,2,10:0d:7f:99:32:5e,Bezeq-n_325E,0.000742398,0.001476188,35.20968034,32.10218046,690.8159546,Ariel_University,1c:b9:c4:14:2b:dc,36,-74,Ariel_University
12/05/2017 11:50,model=SM-G950F_device=dreamlte,null,null,null,1,14:ae:db:58:0d:6d,__ery,#VALUE!,#VALUE!,35.20872426,32.1030289,685.0669945,Ariel_University,1c:b9:c4:14:2f:68,6,-82,Ariel_University
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.10296049,35.20969913,702.14288,3,1c:b9:c4:15:ed:b8,IT-MNG,0.000729653,0.000701651,35.20896948,32.10225884,688.0764036,Ariel_University,1c:b9:c4:14:2f:68,6,-63,Ariel_University
12/05/2017 11:48,model=SM-G950F_device=dreamlte,32.10350816,35.20989686,707.4466274,8,1c:b9:c4:15:ed:b8,IT-MNG,6.68806E-05,0.001505839,35.20982997,32.10200232,692.9567591,Ariel_University,1c:b9:c4:14:33:c8,11,-78,Ariel_University
